camp,uid,address_2026,events_2026,talks_2026,parties_2026,website,instagram,facebook,soundcloud,youtube,email,hometown,accepting_campers,publishes_lineup,official_2026
Naked Heart,a1XVI00000FKmpR2AT,6:00 & F,135,133,5,http://nakedheartcamp.com,,,,,redacted@example.invalid,Eugene,yes,,yes
Mystic,a1XVI00000FMQ4r2AH,2:00 & F,47,43,7,https://campmystic.org/,,,,,redacted@example.invalid,"Bay Area + Los Angeles CA + Denver, CO + New York, NY",yes,yes,yes
I Love Elephants,a1XVI00000FKo6T2AT,3:00 & Esp,45,22,20,https://www.elephantsnow.org/events-burningman,,2008,,,redacted@example.invalid,Bend Oregon,yes,,yes
Alchemist Bazaar,a1XVI00000FP9Vh2AL,3:30 & D,45,36,8,https://www.playalchemist.com/,,,,,,Vancouver,yes,,yes
Camp Contact,a1XVI00000FMccH2AT,3:45 & C,41,32,15,https://campcontact.org,campcontact,groups,,,redacted@example.invalid,Washington,yes,yes,yes
Bloom Camp,a1XVI00000FKoEX2A1,9:45 & Esp,30,29,2,,bloom_camp_,,,,redacted@example.invalid,New York,yes,,yes
Rootpile,a1XVI00000FK2Zh2AL,8:15 & D,28,13,21,http://www.rootpile.com,,RootpileBluegrass,,,redacted@example.invalid,Boone,yes,,yes
Earth Guardians,a1XVI00000FSXn92AH,5:00 & Esp,28,16,4,http://earthguardians.net/,bmearthguardians,pages,,,redacted@example.invalid,Nevada City,,yes,yes
Caravan D'Light,a1XVI00000FMZzP2AX,8:15 & E,25,15,8,https://caravandlight.com/,,,,,,,yes,,yes
Black Hole Literary Society,a1XVI00000FG34X2AT,8:30 & B,24,8,3,,,,,,redacted@example.invalid,Elk Creek,yes,,yes
Nobo House,a1XVI00000FPbq92AD,4:45 & D,24,14,7,https://nobohouse.camp,,,,,redacted@example.invalid,International Camp,yes,,yes
Phantasmagoria Camp,a1XVI00000FFnxR2AT,4:00 & Esp,22,2,12,,phantasmagoria_camp,,,,redacted@example.invalid,Planet Earth,yes,,yes
Lotus Dome & Café,,4:30 & E,22,18,1,https://www.buddhacamp.net/,,,,,redacted@example.invalid,Seattle,,,
AdramaNation,a1XVI00000FIZpt2AH,7:15 & C,21,0,2,https://camp-adramanation.squarespace.com/,,2008,,,redacted@example.invalid,New Orleans,yes,,yes
Beaverton,a1XVI00000FPeUf2AL,6:45 & E,21,6,6,,campbeaverton,,,,redacted@example.invalid,"Oakland, California",yes,,yes
HeeBeeGeeBee Healers,a1XVI00000FKbyr2AD,8:15 & F,20,20,0,http://www.heebeegeebeehealers.org,,groups,,,,Boulder,yes,,yes
Playground,a1XVI00000FM7qD2AT,2:00 & C,20,3,18,http://www.weareplayground.org,playgroundfoundation_,,playgroundfoundation,PlaygroundFoundation,redacted@example.invalid,San Francisco,,,yes
Enchanted Booty Forest,a1XVI00000FMMNq2AP,5:30 & B,20,9,3,,,,,,redacted@example.invalid,Los Angeles,yes,,yes
Lamplighters,a1XVI00000FSXnO2AX,6:45 & Esp,20,1,15,https://burningman.org/event/participate/volunteering/teams/lamplighters/e,burningman,burningman,,,redacted@example.invalid,EVERYWHERE,,,yes
Sozo Experience,a1XVI00000FNQkL2AX,5:45 & C,19,4,3,https://sozoxpcamp.wordpress.com/,sozoxp,WordPresscom,,sozo-xp,redacted@example.invalid,Albuquerque,,,yes
Illumination Village,a1XVI00000FLtTt2AL,4:30 & Esp,17,5,6,https://www.illuminationvillage.org,,,,,redacted@example.invalid,Bay Area,,,yes
Mos Eisley Village,a1XVI00000FMjlp2AD,6:45 & E,17,4,4,,moseisleyvillage,,,,,Western USA,yes,,yes
Orphan Asylum,a1XVI00000FBJ3V2AX,10:10:00 & 00 B,16,1,2,http://www.orphanasylum.com,,groups,,,redacted@example.invalid,Portland,yes,,yes
Patsy's Hangout,a1XVI00000FEr0b2AD,7:30 & D,16,3,8,https://www.patsyshangout.org,,groups,,,redacted@example.invalid,SACRAMENTO,,,yes
Embers,a1XVI00000FJNxx2AH,4:30 & Esp,16,5,7,,,,,,,Flagstaff,,,yes
Kaleidoscope Collective,a1XVI00000FLKzB2AX,4:00 & B,16,5,10,,,,,,,New York,,,yes
SoulSound,a1XVI00000FLLFJ2A5,2:15 & C,16,8,8,,soulsound.camp,,,,redacted@example.invalid,"Miami, FL",yes,,yes
Shamandome,a1XVI00000FMdtJ2AT,6:45 & F,16,3,0,https://shamandome.info,,,,,redacted@example.invalid,New York,yes,,yes
Disorient,a1XVI00000FMhww2AD,8:00 & Esp,16,3,7,https://wiki.disorient.info/index.php?title=Main_Page,dis.ori.ent,groups,disorientmusic,,redacted@example.invalid,New York,yes,yes,yes
AerialKnotics,a1XVI00000FI9U12AL,4:00 & A,15,10,5,https://aerialknotics.com/,,,,,redacted@example.invalid,Seattle,,,yes
The Lost Penguins,a1XVI00000FK2WT2A1,8:00 & Esp,15,1,4,https://www.lostpenguins.com/,,,,,redacted@example.invalid,Vancouver,yes,,yes
The Astral Social Club,a1XVI00000FLLlZ2AX,6:45 & B,15,5,6,https://astralsocialclub.org,rsrc.php,docs,,,redacted@example.invalid,Eastern Sierra,,,yes
Ing,a1XVI00000FMdjd2AD,8:30 & D,15,1,2,https://burning.camp/,thecamp_ing,,,,redacted@example.invalid,South Lake Tahoe,yes,,yes
Cosmic Giggle,a1XVI00000FMjsH2AT,3:00 & E,15,6,2,http://cosmicgiggle.org,,,,,,San Francisco,,,yes
FDA: Food & Dance Administration,a1XVI00000FWBkT2AX,7:30 & E,15,4,9,https://www.campexclamationmark.com/,,,,,redacted@example.invalid,Las Vegas,yes,,yes
Red Nose District,a1XVI00000FKcYL2A1,5:00 & Esp,14,7,7,,,RedNoseDistrict,,,redacted@example.invalid,Los Angeles,yes,,yes
METAL MIMI Camp,a1XVI00000FM53d2AD,2:30 & A,14,7,7,https://metalmimi.com,,,,,redacted@example.invalid,Boulder,,,yes
Pepperland,a1XVI00000FMMVt2AP,6:15 & G,14,6,5,https://www.camppepperland.com/,,,,,redacted@example.invalid,Sacramento,yes,,yes
Maison Phi,a1XVI00000FMOKo2AP,10:00 & B,14,0,3,,,,,,,New York City,,,yes
A Transformation Station,a1XVI00000FMQ1d2AH,3:15 & D,14,12,2,,,,,,,New York,yes,,yes
French Maid Brigade,a1XVI00000FMmq92AD,2:45 & A,14,9,1,,,,,,redacted@example.invalid,"Orange County, Dana Point",yes,,yes
Karma Love Camp,a1XVI00000FIvSD2A1,8:00 & D,13,6,8,https://karmalove.camp,,groups,,,redacted@example.invalid,Washington DC,,,yes
