camp,aka,address,instagram,ig_verified,schedule_url,website,events_2026,why
Mystic,,2:00 & F,,,https://campmystic.org/events,https://campmystic.org/,47,
Disorient,,8:00 & Esp,dis.ori.ent,own wiki + camps.json url,,https://wiki.disorient.info/index.php?title=Main_Page,16,
Shamandome,,6:45 & F,,,https://shamandome.info/burning-man,https://shamandome.info,16,
AerialKnotics,,4:00 & A,,,https://aerialknotics.com/schedule,https://aerialknotics.com/,15,
Karma Love Camp,,8:00 & D,,,https://karmalove.camp/events,https://karmalove.camp,13,
Comfort & Joy,,7:00 & E,playajoy,own-site + linktree,,https://www.cnj.world,12,
Opulent Temple,,10:00 & Esp,opulenttemple,own-site + camps.json url,,http://opulentchill.org,12,
Brain Freeze Camp,,5:00 & B,,,http://BlackRockFX.com/events,http://BlackRockFX.com,11,
PLUR Pups,,7:45 & B,,,https://www.plurpups.org/events,https://www.plurpups.org,9,
Black Rock City Municipal Pool,,7:00 & C,brcmunicipalpool,,https://www.brcmunicipalpool.com/events,https://www.brcmunicipalpool.com/,8,
Black Rock Observatory Theme Camp,Black Rock Observatory,3:00 & G@ 8:15,BlackRockObservatory,own-site + camps.json url,,https://www.blackrockobservatory.com/,2,
Titanic's End,,9:45 & E,titanicsend,,,https://bigbigbig.org,2,"Major 2026 burn (Fri 4 Sep) + serious DJ history (Diplo, TOKiMONSTA, LP Giobbi). Lineup is IG-only."
Bubbles and Bass,,8:15 & Esp,bubbles.and.bass,own-site + camps.json url,,http://bubblesandbass.com,1,
Flat Tire Cafe,,4:30 & B@ 6:45,,,http://flattirecafe.com/events,http://flattirecafe.com,1,
Fur,,7:15 & B,,,http://furryburners.com/events,http://furryburners.com,1,
Space Cowboys,,2:45 & D,spacecowboyssf,own-site + camps.json url,,https://www.spacecowboys.org/,1,
Abraxas Camp,Abraxas Dragon,2:15 & H,abraxasdragon,camps.json url IS the IG url,,,0,
Airpusher Collective,,9:15 & E,airpushercollective,own-site + camps.json url,,https://airpusher.org/,0,
Atlantis,,4:30 & B@ 5:00,atlantisburns,,https://atlantisburns.com/events,https://atlantisburns.com/,0,
Camp Questionmark,,2:00 & Esp,campquestionmark,camps.json url + indexed profile title,,http://campquestionmark.com,0,
DISTRIKT,(art car / not in camp directory),,DISTRIKT_org,own-site + camps.json url,,https://www.distrikt.org/,0,Art car / entity not in the 2026 camp directory under this name.
Dusty Rhino,(art car / not in camp directory),,dustyrhinoartcar,own-site,,https://dustyrhino.com,0,Art car / entity not in the 2026 camp directory under this name.
Incendia,(art car / not in camp directory),,experience_incendia,official domain + FB + indexed IG post,,https://experienceincendia.com,0,Art car / entity not in the 2026 camp directory under this name.
Kostume Kult,(art car / not in camp directory),,kostumekult,own-site + camps.json url,,https://kostumekult.com/,0,Art car / entity not in the 2026 camp directory under this name.
Lotus Dome & Café,,,,,https://lotusdome.net/events,https://lotusdome.net,0,
Mayan Warrior,(art car / not in camp directory),,_mayanwarrior_,own-site mayanwarrior.mx,,http://www.mayanwarrior.mx/,0,Art car / entity not in the 2026 camp directory under this name.
Pink Mammoth,,9:00 & G@ 7:30,pinkmammothsf,camps.json url IS the IG url,,https://www.pinkmammoth.org/,0,
Robot Heart,(art car / not in camp directory),,robotheartfoundation,own-site,,https://www.robotheart.org/,0,Art car / entity not in the 2026 camp directory under this name.
